exchange,date,funding_observations,daily_cumulative_funding_pct,avg_funding_rate_pct
Hyperliquid,2026-05-18,18,0.011489060000000002,0.0006382811111111112
Orderly,2026-05-18,2,0.019869,0.0099345
Hyperliquid,2026-05-19,24,0.029159539999999998,0.0012149808333333334
Orderly,2026-05-19,3,0.031492,0.010497333333333334
Hyperliquid,2026-05-20,24,0.029481939999999995,0.0012284141666666667
Orderly,2026-05-20,3,0.02964,0.00988
Hyperliquid,2026-05-21,24,0.029427159999999997,0.0012261316666666668
Orderly,2026-05-21,3,0.032367,0.010789
Hyperliquid,2026-05-22,24,0.027731130000000007,0.00115546375
Orderly,2026-05-22,3,0.029622,0.009873999999999999
Hyperliquid,2026-05-23,24,0.0033463900000000003,0.00013943291666666666
Orderly,2026-05-23,3,0.047327,0.015775666666666667
Hyperliquid,2026-05-24,24,0.025151960000000004,0.0010479983333333332
Orderly,2026-05-24,3,0.029854000000000002,0.009951333333333333
Hyperliquid,2026-05-25,24,0.007019449999999999,0.0002924770833333333
Orderly,2026-05-25,3,0.029815,0.009938333333333332
Hyperliquid,2026-05-26,24,0.01966881000000001,0.00081953375
Orderly,2026-05-26,3,0.033850000000000005,0.011283333333333334
Hyperliquid,2026-05-27,24,0.017378320000000003,0.0007240966666666668
Orderly,2026-05-27,3,0.050118,0.016706000000000002
Hyperliquid,2026-05-28,24,0.0103922,0.00043300833333333335
Orderly,2026-05-28,3,0.030968,0.010322666666666667
Hyperliquid,2026-05-29,24,0.02996204,0.0012484183333333332
Orderly,2026-05-29,3,0.029786,0.009928666666666667
Hyperliquid,2026-05-30,24,0.0289593,0.0012066375
Orderly,2026-05-30,3,0.029743,0.009914333333333332
Hyperliquid,2026-05-31,24,0.02983957,0.0012433154166666667
Orderly,2026-05-31,3,0.029746000000000005,0.009915333333333333
Hyperliquid,2026-06-01,6,0.007500000000000001,0.00125
Orderly,2026-06-01,1,0.009974,0.009974
