exchange,coin,symbol,timestamp,best_bid,best_ask,mid_price,spread_bps
Hyperliquid,ETH,,2026-06-01T12:17:22.758071+00:00,1977.2,1977.3,1977.25,0.505752939688502
Orderly,,PERP_ETH_USDC,2026-06-01T12:17:23.552587+00:00,1977.11,1977.12,1977.1149999999998,0.05057874731611922
Hyperliquid,ETH,,2026-06-01T12:18:22.862363+00:00,1978.2,1978.3,1978.25,0.5054972829516444
Orderly,,PERP_ETH_USDC,2026-06-01T12:18:23.232608+00:00,1977.94,1977.95,1977.9450000000002,0.05055752308578299
Hyperliquid,ETH,,2026-06-01T12:19:22.921261+00:00,1977.6,1977.7,1977.65,0.50565064596939
Orderly,,PERP_ETH_USDC,2026-06-01T12:19:23.343933+00:00,1977.01,1977.02,1977.0149999999999,0.050581305655196876
Hyperliquid,ETH,,2026-06-01T12:20:22.989937+00:00,1977.5,1977.6,1977.55,0.5056762155187431
Orderly,,PERP_ETH_USDC,2026-06-01T12:20:23.387698+00:00,1977.12,1977.13,1977.125,0.050578491497595135
Hyperliquid,ETH,,2026-06-01T12:21:23.061909+00:00,1981.2,1981.3,1981.25,0.5047318611982792
Orderly,,PERP_ETH_USDC,2026-06-01T12:21:24.205967+00:00,1980.77,1980.78,1980.775,0.05048528984862442
Hyperliquid,ETH,,2026-06-01T12:22:23.134809+00:00,1982.5,1982.6,1982.55,0.5044008978331394
Orderly,,PERP_ETH_USDC,2026-06-01T12:22:23.871762+00:00,1981.61,1981.62,1981.6149999999998,0.05046388930236653
Hyperliquid,ETH,,2026-06-01T12:23:23.196789+00:00,1983.0,1983.1,1983.05,0.5042737197746353
Orderly,,PERP_ETH_USDC,2026-06-01T12:23:23.764538+00:00,1982.33,1982.34,1982.335,0.05044556041229613
Hyperliquid,ETH,,2026-06-01T12:24:23.268275+00:00,1984.1,1984.2,1984.15,0.5039941536685051
Orderly,,PERP_ETH_USDC,2026-06-01T12:24:23.907883+00:00,1983.82,1983.83,1983.8249999999998,0.050407672047639816
Hyperliquid,ETH,,2026-06-01T12:25:23.355439+00:00,1984.7,1984.8,1984.75,0.5038417936763272
Hyperliquid,ETH,,2026-06-01T12:26:23.452023+00:00,1985.8,1986.0,1985.9,1.007100055390732
Orderly,,PERP_ETH_USDC,2026-06-01T12:26:23.839405+00:00,1985.0,1985.01,1985.005,0.050377706857115755
Hyperliquid,ETH,,2026-06-01T12:27:23.594092+00:00,1987.5,1987.6,1987.55,0.5031319966788712
Orderly,,PERP_ETH_USDC,2026-06-01T12:27:23.983333+00:00,1986.85,1986.86,1986.855,0.050330799177548964
Hyperliquid,ETH,,2026-06-01T12:28:23.743385+00:00,1985.9,1986.0,1985.95,0.5035373498824696
Orderly,,PERP_ETH_USDC,2026-06-01T12:28:25.309483+00:00,1984.83,1984.84,1984.835,0.050382021679338106
Hyperliquid,ETH,,2026-06-01T12:29:23.816007+00:00,1986.9,1987.0,1986.95,0.5032839276273134
Orderly,,PERP_ETH_USDC,2026-06-01T12:29:25.590674+00:00,1986.54,1986.55,1986.545,0.050338653289962745
Hyperliquid,ETH,,2026-06-01T12:30:23.962259+00:00,1987.1,1987.2,1987.15,0.5032332737847491
Orderly,,PERP_ETH_USDC,2026-06-01T12:30:26.269690+00:00,1986.52,1986.53,1986.525,0.05033916009106809
Hyperliquid,ETH,,2026-06-01T12:31:24.113028+00:00,1984.4,1984.5,1984.45,0.5039179621553027
Orderly,,PERP_ETH_USDC,2026-06-01T12:31:25.620276+00:00,1983.96,1983.97,1983.9650000000001,0.0504041149919021
Hyperliquid,ETH,,2026-06-01T12:32:24.264006+00:00,1985.1,1985.2,1985.15,0.5037402715166935
